source_order	legacy_id_reference	canonical_unit_id	mapping_status
1	MEN-A1-0001	MEN-A1-00001	ORDER_PRESERVING_REFERENCE
2	MEN-A1-0002	MEN-A1-00002	ORDER_PRESERVING_REFERENCE
3	MEN-A1-0003	MEN-A1-00003	ORDER_PRESERVING_REFERENCE
4	MEN-A1-0004	MEN-A1-00004	ORDER_PRESERVING_REFERENCE
5	MEN-A1-0005	MEN-A1-00005	ORDER_PRESERVING_REFERENCE
6	MEN-A1-0006	MEN-A1-00006	ORDER_PRESERVING_REFERENCE
7	MEN-A1-0007	MEN-A1-00007	ORDER_PRESERVING_REFERENCE
8	MEN-A1-0008	MEN-A1-00008	ORDER_PRESERVING_REFERENCE
9	MEN-A1-0009	MEN-A1-00009	ORDER_PRESERVING_REFERENCE
10	MEN-A1-0010	MEN-A1-00010	ORDER_PRESERVING_REFERENCE
11	MEN-A1-0011	MEN-A1-00011	ORDER_PRESERVING_REFERENCE
12	MEN-A1-0012	MEN-A1-00012	ORDER_PRESERVING_REFERENCE
13	MEN-A1-0013	MEN-A1-00013	ORDER_PRESERVING_REFERENCE
14	MEN-A1-0014	MEN-A1-00014	ORDER_PRESERVING_REFERENCE
15	MEN-A1-0015	MEN-A1-00015	ORDER_PRESERVING_REFERENCE
16	MEN-A1-0016	MEN-A1-00016	ORDER_PRESERVING_REFERENCE
17	MEN-A1-0017	MEN-A1-00017	ORDER_PRESERVING_REFERENCE
18	MEN-A1-0018	MEN-A1-00018	ORDER_PRESERVING_REFERENCE
19	MEN-A1-0019	MEN-A1-00019	ORDER_PRESERVING_REFERENCE
20	MEN-A1-0020	MEN-A1-00020	ORDER_PRESERVING_REFERENCE
21	MEN-A1-0021	MEN-A1-00021	ORDER_PRESERVING_REFERENCE
22	MEN-A1-0022	MEN-A1-00022	ORDER_PRESERVING_REFERENCE
23	MEN-A1-0023	MEN-A1-00023	ORDER_PRESERVING_REFERENCE
24	MEN-A1-0024	MEN-A1-00024	ORDER_PRESERVING_REFERENCE
25	MEN-A1-0025	MEN-A1-00025	ORDER_PRESERVING_REFERENCE
26	MEN-A1-0026	MEN-A1-00026	ORDER_PRESERVING_REFERENCE
27	MEN-A1-0027	MEN-A1-00027	ORDER_PRESERVING_REFERENCE
28	MEN-A1-0028	MEN-A1-00028	ORDER_PRESERVING_REFERENCE
29	MEN-A1-0029	MEN-A1-00029	ORDER_PRESERVING_REFERENCE
30	MEN-A1-0030	MEN-A1-00030	ORDER_PRESERVING_REFERENCE
31	MEN-A1-0031	MEN-A1-00031	ORDER_PRESERVING_REFERENCE
32	MEN-A1-0032	MEN-A1-00032	ORDER_PRESERVING_REFERENCE
33	MEN-A1-0033	MEN-A1-00033	ORDER_PRESERVING_REFERENCE
34	MEN-A1-0034	MEN-A1-00034	ORDER_PRESERVING_REFERENCE
35	MEN-A1-0035	MEN-A1-00035	ORDER_PRESERVING_REFERENCE
36	MEN-A1-0036	MEN-A1-00036	ORDER_PRESERVING_REFERENCE
37	MEN-A1-0037	MEN-A1-00037	ORDER_PRESERVING_REFERENCE
38	MEN-A1-0038	MEN-A1-00038	ORDER_PRESERVING_REFERENCE
39	MEN-A1-0039	MEN-A1-00039	ORDER_PRESERVING_REFERENCE
40	MEN-A1-0040	MEN-A1-00040	ORDER_PRESERVING_REFERENCE
41	MEN-A1-0041	MEN-A1-00041	ORDER_PRESERVING_REFERENCE
42	MEN-A1-0042	MEN-A1-00042	ORDER_PRESERVING_REFERENCE
43	MEN-A1-0043	MEN-A1-00043	ORDER_PRESERVING_REFERENCE
44	MEN-A1-0044	MEN-A1-00044	ORDER_PRESERVING_REFERENCE
45	MEN-A1-0045	MEN-A1-00045	ORDER_PRESERVING_REFERENCE
46	MEN-A1-0046	MEN-A1-00046	ORDER_PRESERVING_REFERENCE
47	MEN-A1-0047	MEN-A1-00047	ORDER_PRESERVING_REFERENCE
48	MEN-A1-0048	MEN-A1-00048	ORDER_PRESERVING_REFERENCE
49	MEN-A1-0049	MEN-A1-00049	ORDER_PRESERVING_REFERENCE
50	MEN-A1-0050	MEN-A1-00050	ORDER_PRESERVING_REFERENCE
51	MEN-A1-0051	MEN-A1-00051	ORDER_PRESERVING_REFERENCE
52	MEN-A1-0052	MEN-A1-00052	ORDER_PRESERVING_REFERENCE
53	MEN-A1-0053	MEN-A1-00053	ORDER_PRESERVING_REFERENCE
54	MEN-A1-0054	MEN-A1-00054	ORDER_PRESERVING_REFERENCE
55	MEN-A1-0055	MEN-A1-00055	ORDER_PRESERVING_REFERENCE
56	MEN-A1-0056	MEN-A1-00056	ORDER_PRESERVING_REFERENCE
57	MEN-A1-0057	MEN-A1-00057	ORDER_PRESERVING_REFERENCE
58	MEN-A1-0058	MEN-A1-00058	ORDER_PRESERVING_REFERENCE
59	MEN-A1-0059	MEN-A1-00059	ORDER_PRESERVING_REFERENCE
60	MEN-A1-0060	MEN-A1-00060	ORDER_PRESERVING_REFERENCE
61	MEN-A1-0061	MEN-A1-00061	ORDER_PRESERVING_REFERENCE
62	MEN-A1-0062	MEN-A1-00062	ORDER_PRESERVING_REFERENCE
63	MEN-A1-0063	MEN-A1-00063	ORDER_PRESERVING_REFERENCE
64	MEN-A1-0064	MEN-A1-00064	ORDER_PRESERVING_REFERENCE
65	MEN-A1-0065	MEN-A1-00065	ORDER_PRESERVING_REFERENCE
66	MEN-A1-0066	MEN-A1-00066	ORDER_PRESERVING_REFERENCE
67	MEN-A1-0067	MEN-A1-00067	ORDER_PRESERVING_REFERENCE
68	MEN-A1-0068	MEN-A1-00068	ORDER_PRESERVING_REFERENCE
69	MEN-A1-0069	MEN-A1-00069	ORDER_PRESERVING_REFERENCE
70	MEN-A1-0070	MEN-A1-00070	ORDER_PRESERVING_REFERENCE
71	MEN-A1-0071	MEN-A1-00071	ORDER_PRESERVING_REFERENCE
72	MEN-A1-0072	MEN-A1-00072	ORDER_PRESERVING_REFERENCE
73	MEN-A1-0073	MEN-A1-00073	ORDER_PRESERVING_REFERENCE
74	MEN-A1-0074	MEN-A1-00074	ORDER_PRESERVING_REFERENCE
75	MEN-A1-0075	MEN-A1-00075	ORDER_PRESERVING_REFERENCE
76	MEN-A1-0076	MEN-A1-00076	ORDER_PRESERVING_REFERENCE
77	MEN-A1-0077	MEN-A1-00077	ORDER_PRESERVING_REFERENCE
78	MEN-A1-0078	MEN-A1-00078	ORDER_PRESERVING_REFERENCE
79	MEN-A1-0079	MEN-A1-00079	ORDER_PRESERVING_REFERENCE
