source_order	canonical_unit_id	legacy_id_reference	image_index	source_image	source_image_sha256	row_in_image	visual_label_transcription	source_binding_status	raw_full_row_transcription_status
1	MEN-A1-00001	MEN-A1-0001	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	1	überlegen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
2	MEN-A1-00002	MEN-A1-0002	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	2	hören	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
3	MEN-A1-00003	MEN-A1-0003	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	3	lesen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
4	MEN-A1-00004	MEN-A1-0004	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	4	sprechen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
5	MEN-A1-00005	MEN-A1-0005	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	5	fragen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
6	MEN-A1-00006	MEN-A1-0006	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	6	ergänzen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
7	MEN-A1-00007	MEN-A1-0007	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	7	zeichnen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
8	MEN-A1-00008	MEN-A1-0008	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	8	schreiben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
9	MEN-A1-00009	MEN-A1-0009	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	9	spielen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
10	MEN-A1-00010	MEN-A1-0010	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	10	zeigen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
11	MEN-A1-00011	MEN-A1-0011	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	11	markieren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
12	MEN-A1-00012	MEN-A1-0012	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	12	sein	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
13	MEN-A1-00013	MEN-A1-0013	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	13	studieren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
14	MEN-A1-00014	MEN-A1-0014	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	14	leben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
15	MEN-A1-00015	MEN-A1-0015	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	15	verheiraten	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
16	MEN-A1-00016	MEN-A1-0016	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	16	sich verlieben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
17	MEN-A1-00017	MEN-A1-0017	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	17	haben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
18	MEN-A1-00018	MEN-A1-0018	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	18	machen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
19	MEN-A1-00019	MEN-A1-0019	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	19	zahlen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
20	MEN-A1-00020	MEN-A1-0020	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	20	zählen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
